EAN,CODE,TITLE,PRICE,KSP1,KSP2,KSP3,KSP4,KSP5,KSP6,DESC_LONG,DESC_SHORT,COLOR,CATEGORIES
3086123368828,9246621,BIC Kids Feutres de Coloriage x12 ,2.30,"Ces 12 feutres possèdent une encre ultra lavable à base d'eau, facile à enlever sur la peau et la plupart des tissus","Ils se déclinent en 12 tons vifs et lumineux, pour des dessins hauts en couleur","Leur pointe moyenne est bloquée, pour ne pas s'enfoncer à la pression sur le papier",Ces feutres sont adaptés au quotidien des enfants dès 5 ans,"Reconnus pour leur qualité irréprochable,  les feutres Kid Couleur sont les feutres de coloriage les plus vendus en France",,"La gamme BIC Kids propose des instruments de coloriage spécialement conçus pour le développement, le confort et la sécurité des enfants. Parfaits pour le coloriage quotidien des enfants dès 5 ans, les feutres Kid Couleur ont plus d'une corde à leur arc. Déclinés en 24 couleurs lumineuses, ils permettent des dessins vifs et riches en contrastes. Leur pointe moyenne bloquée ne s'enfonce pas à la pression sur le papier. Ils sont donc adaptés à une longue utilisation alternant contours précis et coloriages intensifs. Pas de panique en cas de petite bêtise, ces feutres de coloriage sont ultra lavables. Les feutres Kid Couleur sont solides et fiables : ils sont fabriqués en France dans les usines de l'entreprise BIC avec un savoir faire unique. Merci qui ? Les feutres Kid Couleur bien sûr.
","Ces 12 feutres de coloriage BIC Kids Kid Couleur se déclinent en 12 tons vifs et lumineux. Ils possèdent une encre ultra-lavable à base d'eau, facile à enlever de la peau et la plupart des tissus. Leur pointe moyenne est bloquée, pour ne pas s'enfoncer à la pression sur le papier. Ils sont adaptés au quotidien des enfants dès 5 ans.
",,Stylo
3086123329263,9117381,BIC Kids Feutres de Coloriage x18,2.85,"Les feutres BIC Kids Visa ne sèchent pas, même décapuchonés pendant 3 mois (sauf encre noire), parfait pour les petits étourdis ",Ces feutres à pointe fine sont l'outil idéal pour les enfants qui commencent à faire des dessins précis,"Ils se déclinent en 18 couleurs vives, pour des dessins lumineux et hauts en couleurs",Leur encre à base d'eau est lavable sur la plupart des tissus,Ces 18 feutres de coloriage sont adaptés au quotidien des enfants dès 5 ans,,"La gamme BIC Kids propose des produits de coloriage spécialement adaptés au développement, au confort et à la créativité des enfants. Les feutres de coloriage Visa ont une pointe fine qui permet d'effectuer des contours nets et des coloriages précis. Pas de panique en cas de petite bêtise, leur encre à base d'eau est lavable sur la plupart des vêtements. Ils se referment facilement grâce à un capuchon ventilé. Mais ils peuvent aussi sortir sans leur capuchon car leur encre spéciale ne sèchera pas même s'ils sont décapuchonnés pendant 3 mois (sauf l'encre noire). Gage de qualité, ces feutres sont fabriqués dans les usines de l'entreprise BIC avec un savoir faire unique. La couleur du feutre, comme celle du bouchon et de la mine sont très vives.  Avec BIC, dessinez dans la bonne humeur.","Ces 18 feutres BIC Kids Visa se déclinent en 18 couleurs vives et lumineuses. Ils ne sèchent pas, même décapuchonés pendant 3 mois (sauf encre noire). Leur pointe fine permet d'effectuer des contours nets et des coloriages précis . Leur encre à base d'eau est lavable sur la plupart des tissus.",,Stylo
3086123329270,9375141,BIC Kids Crayons de Couleur x18,1.75,Ces crayons de couleur éco-responsables de la gamme BIC Kids se déclinent en 18 couleurs lumineuses. En avant les beaux dessins,"Leur mine est extra résistante, facile à tailler, fortement pigmentée et dotée d'un grand pouvoir couvrant",Les crayons sont en résine de synthèse et sans bois. Pour un corps résistant mieux au mordillage et sans écharde en cas de casse,Leur corps hexagonal est facile à prendre en main et ne roule pas sur la table : ils sont parfaitement adaptés aux enfants dès 5 ans,"Fabriqués avec 50% de matière recyclée, ces 18 crayons BIC Kids Evolution ECOlutions ont été récompensés par le label NF Environnement",,"Les crayons de couleur BIC Kids Evolution ECOlutions ne sont pas des crayons comme les autres. En effet, ces crayons sans bois sont fabriqués en résine de synthèse, selon un procédé de fabrication unique appelé la quadri-extrusion. Cette méthode de haute technologie leur permet de présenter de nombreux avantages : résistance aux chocs, aux mordillages, zéro écharde en cas de casse. Parfaits pour une utilisation au quotidien dès 5 ans, ils ont une gaine protectrice autour de la mine qui les rend très résistants. Fortement concentrée en pigment, la mine permet par ailleurs de colorier de larges aplats ou de dessiner des contours vifs.  Avec sa gamme BIC Kids, le groupe BIC propose des outils de coloriage spécialement conçus pour le développement et le confort des enfants. Merci qui ? Les crayons BIC Kids bien sûr.","Fabriqués à partir de 50% de matériaux recyclés, ces 18 crayons de couleur éco-responsables BIC Kids Evolution ECOlutions se déclinent en 18 couleurs vives et lumineuses : en avant les beaux dessins. Leur mine est extra résistante, facile à tailler, fortement pigmentée et dotée d'un grand pouvoir couvrant. Ces crayons sans bois sont en résine de synthèse, pour un corps résistant mieux au mordillage et sans écharde en cas de casse.",,Stylo
3086123499157,950527,BIC Color Up Crayons de Couleur x12,2.65,"Avec leur étui noir élégant, ces 12 crayons de couleur BIC vous accompagneront partout, au collège comme au lycée","Avec leur forme triangulaire, ces crayons assurent une excellente prise en main et un grand confort d'utilisation","Ils sont disponibles dans une palette de 12 couleurs intenses, idéal pour vos TP ou pour vous détendre entre 2 révisions","Extra-résistante, leur mine encaisse les chocs. Elle est aussi facile à tailler et à gommer pour un tracé toujours propre et lisible","Fabriqués sans bois, les crayons de couleur évitent les échardes mal intentionnées en cas de casse",,"L’entreprise BIC bénéficie d'une longue expertise dans la fabrication de crayons de couleur avec sa marque BIC Kids. Avec la gamme BIC Color Up, BIC lance des crayons de couleur et des feutres adaptés aux besoins des collégiens et des lycéens. Avec leur étui noir élégant, ces crayons de couleur séduiront les jeunes en quête de détente.  Que ce soit pour colorier une carte de géographie ou tout simplement laisser cours à son imagination, les crayons de couleur BIC Color Up sont très confortables à utiliser avec leur forme triangulaire. Leurs mines sont très résistantes et se taillent facilement. Ces crayons sont disponibles dans une palette de 24 couleurs vives et intenses, pour un effet feu d’artifice sur le papier. Gage de qualité, ils sont fabriqués en France dans les usines BIC avec un savoir-faire inégalé. Depuis sa création, BIC fabrique des produits d'écriture de qualité, accessibles à tous, et vendus partout dans le monde. Cette vocation a permis à l'entreprise française d'être aujourd'hui l'un des leaders mondiaux des articles de papeterie.","Avec leur étui noir élégant, ces 12 crayons de couleur BIC Color Up vous accompagneront partout, au collège comme au lycée. Ils sont disponibles dans une palette de 12 couleurs intenses, idéal pour vos TP ou pour vous détendre entre 2 révisions. Avec leur forme triangulaire, ils procurent un excellent confort lors de leur utilisation. Extra-résistante, leur mine encaisse les chocs ; elle est aussi facile à tailler et à gommer pour un tracé toujours propre et lisible.",,Stylo
3086123500297,950641,BIC Bâtons de Colle Décors (8g) x6,3.40,"Ces 6 bâtons de colle petit format (8gr) BIC ECOlutions aux décors amusants sont parfaits pour coller papiers, cartons et photos ",Petits tubes ronds et pratiques pour une manipulation propre et un contrôle précis: idéal pour les petits travaux minutieux ,Tournez et collez : leur mécanisme de torsion circulaire permet de délivrer autant de colle que nécessaire,Ces colles en tube ECOlutions sont sans solvant et s'enlèvent facilement de la peau et de la plupart des vêtements,Ces tubes sont fabriqués avec du plastique recyclé à 100% afin de veiller au respect de l'environnement : bravo BIC,,"Depuis plus de 60 ans, BIC fabrique des produits couvrant tous les besoins d'écriture et de travaux créatifs. Historiquement spécialisée dans les stylos, la marque BIC propose aujourd'hui une colle accessible à tous et qui respecte l'environnement. Le bâton petit format ECOlutions 8g aux décors amusants a tout pour vous faire adhérer : cette petite colle blanche sans solvant colle proprement papiers, cartons légers et photos. Discret et performant, le tube de colle se range dans la trousse et convient parfaitement à tout type d'utilisation : professionnelle, à l'école ou dans votre home sweet home. Cette colle est fabriquée sans solvant, et se lave en machine sur la plupart des tissus en cas de petit dérapage. Grâce à son capuchon pratique, vous pourrez l'utiliser à votre guise sans qu'elle ne sèche. Car en cas de colle, BIC ne sèche jamais.","Ces 6 bâtons de colle BIC Glue Stick ECOlutions petit format (8g) aux décors amusants sont parfaits pour coller papier, carton et photos à la maison ou à l'école. Tournez et collez : leur mécanisme de torsion circulaire permet de délivrer autant de colle que nécessaire. Ces colles en tube sont sans solvant, et fabriquées avec du plastique recyclé à 100% afin de veiller au respect de l'environnement. ",,Stylo
3086123502802,951341,BIC Bâtons de Colle Décors (8g) x10,5.40,"Ces 10 bâtons de colle petit format (8gr) BIC ECOlutions aux décors amusants sont parfaits pour coller papiers, cartons et photos ",Petits tubes ronds et pratiques pour une manipulation propre et un contrôle précis: idéal pour les petits travaux minutieux ,Tournez et collez : leur mécanisme de torsion circulaire permet de délivrer autant de colle que nécessaire,Ces colles en tube ECOlutions sont sans solvant et s'enlèvent facilement de la peau et de la plupart des vêtements,Ces tubes sont fabriqués avec du plastique recyclé à 100% afin de veiller au respect de l'environnement : bravo BIC,,"Depuis plus de 60 ans, BIC fabrique des produits couvrant tous les besoins d'écriture et de travaux créatifs. Historiquement spécialisée dans les stylos, la marque BIC propose aujourd'hui une colle accessible à tous et qui respecte l'environnement. Le bâton petit format ECOlutions 8g aux décors amusants a tout pour vous faire adhérer : cette petite colle blanche sans solvant colle proprement papiers, cartons légers et photos. Discret et performant, le tube de colle se range dans la trousse et convient parfaitement à tout type d'utilisation : professionnelle, à l'école ou dans votre home sweet home. Cette colle est fabriquée sans solvant, et se lave en machine sur la plupart des tissus en cas de petit dérapage. Grâce à son capuchon pratique, vous pourrez l'utiliser à votre guise sans qu'elle ne sèche. Car en cas de colle, BIC ne sèche jamais.","Ces 10 bâtons de colle BIC Glue Stick ECOlutions petit format (8g) aux décors amusants sont parfaits pour coller papier, carton et photos à la maison ou à l'école. Tournez et collez : leur mécanisme de torsion circulaire permet de délivrer autant de colle que nécessaire. Ces colles en tube sont sans solvant, et fabriquées avec du plastique recyclé à 100% afin de veiller au respect de l'environnement. ",,Stylo
3086123333697,9126451,BIC Velleda Feutres Effaçables x5,1.55,Ces 5 marqueurs BIC Velleda 1721 ont une pointe fine compatible avec les ardoises et tableaux blancs BIC Velleda  ,"Ce format spécial contient 2 marqueurs bleus, 1 noir, 1 vert et 1 rouge. Parfait pour des écrits hauts en couleur","Munis d'une pointe bloquée et résistante, ces feutres Velleda sont parfaitement adaptés à une utilisation par des enfants","Grâce à leur encre à base de cétone, ils s'effacent à sec très facilement, même après plusieurs jours",Leur odeur neutre est parfaite pour des longs travaux d'école ou une utilisation à la maison sans désagrément,,"Idéaux pour les enfants, les marqueurs effaçables BIC Velleda 1721 ont adopté un format feutre fin pour convenir aux travaux précis, à la maison ou à l'école. Ces feutres Velleda possèdent une pointe ogive bloquée qui ne s'enfonce pas à la pression lors de l'écriture. Disponible en 8 couleurs intenses, ils font nettement ressortir l'écriture et les informations clés. Pour une utilisation sans contrainte, leur encre à base de cétone  s'efface facilement, même après plusieurs jours .Saviez-vous que la marque BIC Velleda appartient à l'entreprise BIC depuis plus de 35 ans ? En l'acquérant, BIC a ainsi étoffé sa gamme d'écriture pour y inclure toute une nouvelle gamme effaçable à sec : les feutres, ardoises et rouleaux blanc. Gage de qualité, ces marqueurs effaçables Velleda sont fabriqués en France, dans les usines de l'entreprise. BIC fait fort, BIC fait France.","Ce format spécial de 5 marqueurs BIC Velleda 1721 contient 2 marqueurs bleus, 1 noir, 1 vert et 1 rouge. Ces feutres fins conviennent aux travaux précis, à la maison ou à l'école. Leur encre pigmentée aux couleurs intenses fait nettement ressortir l'écriture, et s'efface facilement. Leur pointe ogive est bloquée et ne s'enfonce pas à la pression de l'écriture. ",,Stylo
3086123155183,875708,BIC Velleda Feutres Effaçables x3,2.10,Ces 3 marqueurs BIC Velleda 1721 ont une pointe fine compatible avec les ardoises et tableaux blancs BIC Velleda  ,"Ce pack contient 3 couleurs d'encre classique (noir, bleu et rouge) ainsi qu'une effacette magnétique pour tableaux blancs","Munis d'une pointe bloquée et résistante, ces feutres Velleda sont parfaitement adaptés à une utilisation par des enfants","Grâce à leur encre à base de cétone, ils s'effacent à sec très facilement, même après plusieurs jours",Leur odeur neutre est parfaite pour des longs travaux d'école ou une utilisation à la maison sans désagrément,,"Idéaux pour les enfants, les marqueurs effaçables BIC Velleda 1721 ont adopté un format feutre fin pour convenir aux travaux précis, à la maison ou à l'école. Ces feutres Velleda possèdent une pointe ogive bloquée qui ne s'enfonce pas à la pression lors de l'écriture. Disponible en 8 couleurs intenses, ils font nettement ressortir l'écriture et les informations clés. Pour une utilisation sans contrainte, leur encre à base de cétone  s'efface facilement, même après plusieurs jours .Saviez-vous que la marque BIC Velleda appartient à l'entreprise BIC depuis plus de 35 ans ? En l'acquérant, BIC a ainsi étoffé sa gamme d'écriture pour y inclure toute une nouvelle gamme effaçable à sec : les feutres, ardoises et rouleaux blanc. Gage de qualité, ces marqueurs effaçables Velleda sont fabriqués en France, dans les usines de l'entreprise. BIC fait fort, BIC fait France.","Ce blister de 3 marqueurs BIC Velleda 1721 contient 3 marqueurs à encre bleue, noire et rouge ainsi qu'une effacette magnétique pour tableaux blancs. Ces feutres fins conviennent aux travaux précis, à la maison ou à l'école. Leur encre pigmentée aux couleurs intenses fait nettement ressortir l'écriture, et s'efface facilement. Leur pointe ogive est bloquée : elle ne s'enfonce pas et ne s'émousse pas à la pression de l'écriture. De faible odeur, ces feutres effaçables à sec sont fabriqués en France.",,Stylo
3086123333703,9126461,BIC Velleda Feutres Effaçables x5,3.10,"Ces 5 marqueurs BIC Velleda 1741 ont une pointe moyenne (4,5mm de diamètre), pour un tracé épais de 1,4mm",Leur pointe ogive est bloquée : elle ne se déforme pas et ne s'enfonce pas à la pression sur les tableaux blanc,"Grâce à leur encre à base de cétone, ces feutres s'effacent à sec très facilement, même après plusieurs jours","Ils sont disponibles en 4 coloris classiques (bleu (x2), noir (x1), rouge (x1), vert (x1), pour vos messages importants","Leur corps rond en format feutre est facile à prendre en main, pour écrire confortablement",,"Délivrez des messages hauts en couleurs avec les feutres effaçables à sec BIC Velleda 1741. Disponibles en 8 couleurs lumineuses (noir, bleu, rouge, vert, rose, orange, jaune et marron), leur encre pigmentée est bien visible sur les tableaux blancs, et s'efface très facilement. Précis et endurants, ces feutres effaçables à sec de pointe moyenne sont particulièrement adaptés aux professionnels et aux enseignants utilisant les tableaux Velleda. Grâce à leur format feutre, ils sont facilement maniables et confortables à tenir. Leur pointe ogive en acrylique de 4.5mm permet un tracé moyen de 1.4mm. Gage de qualité, ces marqueurs sont fabriqués en France dans les usines du groupe BIC et bénéficient de tout le savoir-faire de l'entreprise. Saviez-vous que la marque Velleda appartient à l'entreprise BIC? En l'aquérant, BIC a étoffé sa gamme d'écriture pour y inclure toute une nouvelle gamme effaçable : les feutres, ardoises et tableaux blanc. 
","Ces 5 feutres Velleda 1741 de BIC sont disponibles en 4 couleurs classiques (bleu (x2), noir (x1), rouge (x1), vert (x1), et s'effacent très facilement. Ils permettent un tracé d'épaisseur moyenne (largeur de trait de 1.4mm). Leur pointe ogive est bloquée : elle écrit sans se courber ou s'enfoncer à la pression sur tableaux blancs ou rouleaux Velleda. 

",,Stylo
3086126668468,841362,BIC Kids Velleda Ardoise Lot x1,1.85,Cette ardoise BIC Kids Velleda double face est parfaite pour apprendre à écrire : elle possède 1 face blanche et 1 face quadrillée,Un bon écolier est toujours bien équipé : l'ardoise est fournie avec 1 marqueur bleu et 1 effacette qui se clipe a? l'ardoise,"Bien pratique pour l'école, son petit format 20x30 cm se glisse dans tous les cartables","Pour atténuer la rigidité des lignes, l'ardoise possède une bordure ondulante en plastique bleue, orange, verte ou rose (aléatoire)","Pour bien écrire et encore mieux réécrire, elle s'efface à sec, même après plusieurs jours",,"Saviez-vous que la marque Velleda appartient à l'entreprise BIC depuis plus de 35 ans? En l'acquérant, BIC a ainsi étoffé sa gamme d'écriture pour y inclure toute une gamme de marqueurs et de surfaces effaçables à sec (ardoises, rouleaux blanc). Conçue pour les écoliers, cette ardoise est double face : elle est dotée d'une surface blanche pour réaliser de beaux dessins et d'une face à carreaux pour apprendre à écrire. Pour écrire et réécrire à l'infini, elle est fournie avec un marqueur Velleda pour tableau blanc, et une effacette fixable sur l'ardoise. Disponible en bleu, orange, vert, et rose, recevez de manière aléatoire l'une de ces quatre couleurs. Cocoricooo : cette ardoise est fabriquée en France dans les usines du groupe et bénéficie ainsi de tout le savoir-faire de l'entreprise BIC. Car seul BIC sait faire aussi bien que BIC.","Cette ardoise BIC Kids Velleda biface est parfaite pour apprendre à écrire : elle possède 1 face blanche et 1 face quadrillée. Un bon écolier est toujours bien équipé : l'ardoise est fournie avec 1 marqueur bleu et 1 effacette qui se clipe a? l'ardoise. Bien pratique pour l'école, son petit format 20 x 30 cm se glisse dans tous les cartables. Disponible en bleu, orange, vert, et rose, recevez de manière aléatoire l'une de ces quatre couleurs.",,Stylo
